item,creatures,npc,npc_price,qty
War Axe,"Behemoth,Eyeless Devourer,Falcon Knight,Glooth Bandit,Hulking Prehemoth,Infernal Demon,Infernal Phantom,Juggernaut,Lost Basher,Nightmare,Norcferatu Heartless,Priestess of the Wild Sun,Rotten Golem,Stone Devourer,Streaked Devourer,Undead Dragon,Katex Blood Tongue,Outburst,Preceptor Lazare,Srezz Yellow Eyes,Stonecracker,The False God,Tormentor,Yirkas Blue Scales",Rashid,12000,14-19
Wardragon Claw,Wardragon,Yasir,550,51-56
Wardragon Tooth,Wardragon,Yasir,730,52-87
Waspoid Claw,"Waspoid,Chopper",Yasir,320,32-49
Weaver's Wandtip,Draken Spellweaver,Yasir,250,58-84
Werebadger Claws,"Werebadger,Sharpclaw",Yasir,160,146-187
Werebadger Skull,"Sharpclaw, Werebadger.",Outro,185,167-172
Werebear Fur,"Werebear,Shadowpelt",Yasir,185,125-173
Werebear Skull,"Werebear,Shadowpelt",Yasir,195,123-186
Wereboar Loincloth,"Wereboar,Bloodback,Feroxa,Owin",Outro,1500,16-18
Wereboar Tusks,"Wereboar,Bloodback,Owin",Outro,165,129-162
Werecrocodile Tongue,"Ayana The Crimson Curse,Feral Werecrocodile,Werecrocodile",Yasir,570,121-165
Werefox Tail,"Werefox,Black Vixen",Yasir,200,103-199
Werehyaena Nose,"Werehyaena,Werehyaena Shaman,Katex Blood Tongue",Yasir,220,70-91
Werehyaena Talisman,"Werehyaena,Werehyaena Shaman,Katex Blood Tongue",Yasir,350,10-18
Werepanther Claw,"Cunning Werepanther,Werepanther",Yasir,280,66-99
Weretiger Tooth,"Weretiger,White Weretiger,Tamru The Black",Yasir,490,135-190
Werewolf Fur,"Werewolf,Darkfang,Hemming",Yasir,380,51-92
Widow's Mandibles,Wailing Widow,Yasir,110,76-96
Wild Flowers,"Angry Sugar Fairy,Nymph,Pixie,Swan Maiden",Yasir,120,65-100
Wimp Tooth Chain,"Lost Basher,Lost Exile,Lost Husher",Yasir,120,83-92
Winged Tail,"Serpent Spawn,Srezz Yellow Eyes,The Noxious Spawn",Yasir,800,11-20
Witch Broom,"Witch,Ekatrix",Yasir,60,66-98
Wood Cape,"Adult Goanna,Arctic Faun,Capricious Phantom,Crazed Summer Rearguard,Dark Faun,Faun,Monk's Apparition,Paladin's Apparition,Pirat Bombardier,Rootthing Bug Tracker,Rotten Golem,Rotten Man-Maggot,Soul-broken Harbinger,Turbulent Elemental,Usurper Archer,Varnished Diremaw,Venerable Girtablilu,Guard Captain Quaid,Ravenous Hunger,Raxias",Outro,5000,11-15
Wooden Spellbook,"Arctic Faun,Boogy,Dark Faun,Faun,Mitmah Seer,Noxious Ripptor,Pixie,Raubritter Chastener,Rootthing Amber Shaper,Sineater Inferniarch,Young Goanna,Clavius,Court Warlock,Ravenous Hunger",Outro,12000,16-20
Worm Sponge,"Meandering Mushroom,Oozing Corpus",Yasir,4200,11-20
Yapunac Dagger,"Atab,Iks Yapunac",Yasir,240,56-90
Zaoan Armor,"Darklight Emitter,Draken Abomination,Draken Elite,Draken Warmaster,Ghastly Dragon,Lizard Chosen,Lizard High Guard,Lizard Legionnaire,Lizard Zaogun,Battlemaster Zunzu,Ethershreck,Fazzrah,Lizard Gate Guardian,Paiz the Pauperizer",Outro,14000,11-20
Zaoan Robe,"Draken Spellweaver,Lizard Dragon Priest,Flamecaller Zazrak",Outro,1200,15-15
Zaoan Shoes,"Darklight Construct,Draken Spellweaver,Draken Warmaster,Ghastly Dragon,Lizard Chosen,Lizard Dragon Priest,Lizard High Guard,Lizard Legionnaire,Lizard Zaogun,Battlemaster Zunzu,Ethershreck,Fazzrah,Flamecaller Zazrak,Hatebreeder,Lizard Gate Guardian,The Voice of Ruin",Outro,5000,11-20
Zaogun Flag,"Lizard Zaogun,Battlemaster Zunzu,Fazzrah",Yasir,600,18-32
Zaogun Shoulderplates,"Lizard Zaogun,Battlemaster Zunzu,Fazzrah",Yasir,150,60-96
